race_category,description,race_name_examples
black_or_african_american,,"Black, African American"
white,,"White, Caucasian"
american_indian_or_alaska_native,,"American Indian, Alaskan Native"
asian,,"Asian, Chinese"
native_hawaiian_or_other_pacific_islander,,"Samoan, Fijian"
middle_eastern_or_north_african,"Per 2024 OMB SPD 15 revision recognizing Middle Eastern or North African (MENA) as a distinct race/ethnicity category.","Middle Eastern, North African, MENA, Lebanese, Egyptian, Iranian, Moroccan"
unknown,Race not documented or patient declined to answer,"Decline to Answer, Unknown"
other,Race documented but does not fit standard categories,"Multiracial, Mixed"


