lab_category,typical_minimum,typical_maximum,typical_units,reference
albumin,3.5,5.5,g/dL,MedlinePlus
alkaline_phosphatase,44,147,U/L,MedlinePlus
alt,7,56,U/L,MedlinePlus
ast,10,40,U/L,MedlinePlus
basophils_percent,0,1,%,MedlinePlus
basophils_absolute,0,0.1,10^3/µL,MedlinePlus
bicarbonate,22,29,mmol/L,MedlinePlus
bilirubin_total,0.1,1.2,mg/dL,MedlinePlus
bilirubin_conjugated,0,0.3,mg/dL,MedlinePlus
bilirubin_unconjugated,0.2,0.8,mg/dL,MedlinePlus
bun,7,20,mg/dL,MedlinePlus
calcium_total,8.5,10.5,mg/dL,MedlinePlus
calcium_ionized,4.5,5.3,mg/dL,MedlinePlus
chloride,96,106,mmol/L,MedlinePlus
creatinine,0.6,1.3,mg/dL,MedlinePlus
crp,0,3,mg/L,MedlinePlus
eosinophils_percent,1,4,%,MedlinePlus
eosinophils_absolute,0,0.5,10^3/µL,MedlinePlus
esr,0,20,mm/hour,MedlinePlus
ferritin,30,400,ng/mL,MedlinePlus
glucose_fingerstick,70,100,mg/dL,MedlinePlus
glucose_serum,70,100,mg/dL,MedlinePlus
hemoglobin,12,17.5,g/dL,MedlinePlus
phosphate,2.5,4.5,mg/dL,MedlinePlus
inr,0.8,1.2,(no units),MedlinePlus
lactate,0.5,2.2,mmol/L,MedlinePlus
ldh,140,280,U/L,MedlinePlus
lymphocytes_percent,20,40,%,MedlinePlus
lymphocytes_absolute,1,4,10^3/µL,MedlinePlus
magnesium,1.7,2.2,mg/dL,MedlinePlus
monocytes_percent,2,8,%,MedlinePlus
monocytes_absolute,0.2,0.8,10^3/µL,MedlinePlus
neutrophils_percent,40,60,%,MedlinePlus
neutrophils_absolute,1.5,8,10^3/µL,MedlinePlus
pco2_arterial,35,45,mmHg,MedlinePlus
po2_arterial,80,100,mmHg,MedlinePlus
pco2_venous,40,50,mmHg,MedlinePlus
ph_arterial,7.35,7.45,(no units),MedlinePlus
ph_venous,7.31,7.41,(no units),MedlinePlus
platelet_count,150,450,10^3/µL,MedlinePlus
potassium,3.5,5.1,mmol/L,MedlinePlus
procalcitonin,0,0.1,ng/mL,MedlinePlus
pt,11,13.5,sec,MedlinePlus
ptt,25,35,sec,MedlinePlus
so2_arterial,95,100,%,MedlinePlus
so2_mixed_venous,60,80,%,MedlinePlus
so2_central_venous,70,75,%,MedlinePlus
sodium,135,145,mmol/L,MedlinePlus
total_protein,6.4,8.3,g/dL,MedlinePlus
troponin_i,0,30,ng/L,MedlinePlus
troponin_t,0,14,ng/L,MedlinePlus
wbc,4,11,10^3/µL,MedlinePlus
